step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,2-(2-bromophenyl)-2-oxazoline,1 mmol,PdCl2(PPh3)2,2 mol%,NiCl2·6H2O,0.5 mol%,PPh3,8 mol%,Et3N,1.3 mmol,CO,3 atm,"isoindolinone (e.g., 2b), 2-(2-ethoxycarbonylphenyl)-2-oxazoline (3b)",100.00,24.00,CO,Pd Ni,-,_20260321_184610_cho_1996_synthesis_of_isoindolinones_via_carbonyla.json,,0,,0,,0,,,
1,HAuCl4·3H2O,not specified,PdCl2,not specified,3-aminopyrazine-2-carboxylic acid (Apzc),appropriate concentration,ascorbic acid (AA),not specified,,,,,AuPd dendritic alloyed nanocrystals (AuPd DANCs),,,,,-,_20260321_184902_chen_2016_simple_synthesis_of_bimetallic_aupd_dend.json,,0,,0,,0,,,
1,PMC support,2.0 g,Fe(NO₃)₃·9H₂O,calculated for 50% Fe (w/w),,,,,,,,,Fe-PMC catalyst,59.85,24.00,AIR,,-,_20260321_184940_cruz_2015_on_the_structural_textural_and_morpholog.json,,0,,0,,0,yes,24.00,
1,Au vapour,not specified,Pd vapour,not specified,acetone vapour,not specified,,,,,,,Au-Pd/acetone solvated metal atoms (SMAs) solution,,,AR,AuPd,"not explicitly reported; EXAFS shows increased coordination distances vs monometallic references, but no precise Au–Pd bond length given",_20260321_185148_evangelisti_2012_bimetallic_gold_palladium_vapour_.json,,0,,0,,0,,,
1,GO,10 mg,DMF,100 mL,K₂PdCl₄,1 mL of 10 mM aqueous solution,K₂PtCl₄,1 mL of 10 mM aqueous solution,,,,,PtPdNCs/GNs (bimetallic PtPd nanocubes on graphene),130.00,0.50,AIR,,-,_20260321_185316_chen_2014_synthesis_of_bimetallic_ptpd_nanocubes_o.json,,0,,0,,0,,,
1,multi-walled carbon nanotubes (MWCNT),not specified,concentrated nitric acid (69 wt%),"refluxed, excess",,,,,,,,,oxygen-functionalized MWCNT,,,AIR,,-,_20260321_185528_dietrich_2014_effect_of_co_loading_on_the_activity.json,,0,,0,,0,,,121.00
2,tetraammineplatinum(II) nitrate,calculated for 5 wt% Pt,cobalt nitrate hydrate,calculated for 0.8–7.8 wt% Co (Pt:Co = 1:0.5 to 1:5),,,,,,,,,PtCo/MWCNT precursor,,,AIR,,-,_20260321_185528_dietrich_2014_effect_of_co_loading_on_the_activity.json,,0,,0,,0,,,150.00
3,PtCo/MWCNT precursor,all,,,,,,,,,,,reduced bimetallic PtCo/MWCNT catalyst,400.00,,AR,,-,_20260321_185528_dietrich_2014_effect_of_co_loading_on_the_activity.json,,0,,0,,0,,,
1,"ketone (e.g., 2-butanone, 3-pentanone, 4-heptanone, etc.)",not specified,bimetallic palladium(II) complex (triketone ligand + bridging dinitrogen),catalytic,methanesulfonic acid,used to accelerate enolization,O₂ (air),as oxidant,,,,,"α-hydroxyketone (e.g., 3-hydroxy-2-butanone, 2-hydroxy-3-pentanone, 3-hydroxy-4-heptanone, etc.)",,,AIR,Pd2N2 center),-,_20260321_185545_el_qisairi_qaseer_2002_oxidation_of_ketone_by_pall.json,N,2,,0,,0,,,
1,HAuCl4,0.37 mM,PdCl2,0.62 mM,NaCl,0.9% (w/v),Pichia pastoris (wet cells),"0.2 g in 10 mL solution (OD600 = 1.0, dried weight 0.04 g)",,,,,yeast cells with adsorbed Au(III) and Pd(II) ions,,,AIR,,-,_20260321_185639_chen_2013_fabrication_of_aupd_alloy_nanoparticlepi.json,,0,,0,,0,,,30.00
2,H2,sparged through 40 mL suspension,yeast cells with adsorbed ions,all,,,,,,,,,flower-like Au/Pd alloy NP/P. pastoris composites,30.00,24.00,H2,,-,_20260321_185639_chen_2013_fabrication_of_aupd_alloy_nanoparticlepi.json,,0,,0,,0,,,
1,tetraethyl orthosilicate (TEOS),23.5 g total (2.5 g + 21.0 g),hexadecyltrimethylammonium bromide (CTAB),4 g,"aqueous tetramethylammonium hydroxide (TMAOH, 25 wt%)",25 mL,PdCl₂,not quantified (added with HAuCl₄ and remaining TEOS),HAuCl₄,not quantified (added with PdCl₂ and remaining TEOS),,,Au-Pd/MCM-41 catalyst,40.00,24.00,AIR,,-,_20260321_185650_da_silva_2015_versatile_and_efficient_catalysts_fo.json,,0,,0,,0,yes,24.00,
1,Al₂O₃ (alumina support),pre-treated with incipient wetness of double-distilled water,cobalt(II) nitrate hexahydrate,"known amount for target Co loading (e.g., 11.25 wt%)",iron(III) nitrate nonahydrate,"known amount for target Fe loading (e.g., 2–6 wt%)",,,,,,,impregnated support,,,AIR,,-,_20260321_185711_das_deo_2012_promotion_of_alumina_supported_cobalt.json,,0,,0,,0,,,
2,impregnated support,all,,,,,,,,,,,"calcined Co-Fe/Al₂O₃ catalyst (e.g., 11.25Co-2FeAl-CI or -DI)",,,AIR,,-,_20260321_185711_das_deo_2012_promotion_of_alumina_supported_cobalt.json,,0,,0,,0,,,109.85
3,calcined Co-Fe/Al₂O₃ catalyst,all,,,,,,,,,,,"reduced bimetallic catalyst (e.g., 11.25Co-2FeAl-CI, denoted as xCo yFeAl-CI or -DI)",549.85,4.00,,,-,_20260321_185711_das_deo_2012_promotion_of_alumina_supported_cobalt.json,,0,,0,,0,,,
1,Pd precursor (not specified),not specified,Ni precursor (not specified),not specified,N-butylpyridinium tetrafluoroborate (BPyBF₄),used as RTIL solvent,multi-walled carbon nanotubes (MWCNTs),"support, amount not specified",,,,,PdₓNiᵧ/MWCNTs bimetallic nanoparticles,200.00,,,,-,_20260321_185806_ding_2014_formic_acid_oxidation_reaction_on_a_pdxn.json,,0,,0,,0,,,
1,HAuCl₄·3H₂O,41 mg,Pt(acac)₂,79 mg,oleylamine,20 mL,[AD]PO₄,"0, 0.5, or 1 mL",,,,,bimetallic Au-Pt nanoparticles,180.00,3.00,AIR,,-,_20260321_185856_cui_2015_effect_of_ionic_liquid_on_the_synthesis_a.json,,0,,0,,0,,,
1,Al₂O₃ support (Puralox SCCA 5/170),not specified,Co(NO₃)₂·6H₂O,to achieve 10 wt.% Co (monometallic) or x wt.% Co in bimetallic),Fe(NO₃)₃·9H₂O,"to achieve y wt.% Fe (bimetallic), with x + y = 10 wt.%",,,,,,,impregnated Al₂O₃ precursor,,,AIR,,-,_20260321_201100_griboval_constant_2014_cobalt_and_iron_species_in_.json,,0,,0,,0,,,
2,impregnated Al₂O₃ precursor,all,,,,,,,,,,,"calcined bimetallic oxide catalyst (e.g., CoₓFe₁₋ₓFe₂O₄, Co₃O₄, Fe₂O₃)",,,AIR,,-,_20260321_201100_griboval_constant_2014_cobalt_and_iron_species_in_.json,,0,,0,,0,,,399.85
3,calcined catalyst,all,,,,,,,,,,,"reduced bimetallic catalyst (e.g., Co⁰–Fe⁰/Al₂O₃, possibly with Co–Fe alloy or interfacial sites)",399.85,12.00,,,-,_20260321_201100_griboval_constant_2014_cobalt_and_iron_species_in_.json,,0,,0,,0,,,
1,Fe(NO₃)₃·9H₂O,appropriate amount for 24% Fe loading,Ni(NO₃)₂·6H₂O,appropriate amount for 36% Ni loading,Al(OC₂H₅)₃,appropriate amount for Al₂O₃ support,H₂C₂O₄·2H₂O,appropriate amount for hydrolysis control,,,,,24%Fe-36%Ni/Al₂O₃ bimetallic catalyst,50.00,2.00,AIR,,-,_20260321_201113_feyzi_mirzaei_2012_preparation_and_characterizatio.json,,0,,0,,0,yes,2.00,
1,H2PtCl6·6H2O,appropriate amount for desired Pt/Sn ratio,SnCl2·2H2O,appropriate amount for desired Pt/Sn ratio,NaBH4 (aqueous solution),"dropwise addition, amount adjusted based on Sn content",,,,,,,black powder (PtSn bimetallic composite),,3.00,AIR,,-,_20260321_201414_feng_2016_one_pot_synthesis_of_ptsn_bimetallic_com.json,,0,,0,,0,yes,3.00,
1,"3,3-di-t-butyl-2,2'-dihydroxy-5,5'-dimethylbenzophenone",1 equiv.,Zr(OPrⁱ)₄,2 equiv.,,,,,,,,,"bis-Zr catalyst 2 (Zr₂L, L = dianionic bis-phenolate)",20.00,1.00,AIR,Zr2O2,,_20260321_201745_hanawa_2000_bis_zirconium_and_bis_hafnium_catalyst.json,O,2,,0,,0,,,
1,PdCl₂,not specified,CuCl₂,not specified,CTABr (cetyltrimethylammonium bromide),not specified,sodium silicate (27% SiO₂) or TEOS,not specified,deionized water,not specified,diluted H₂SO₄,"dropwise, for pH adjustment",Pd/Cu-MCM-41 precursor (as-synthesized material),,,AIR,,-,_20260321_202218_gregori_2014_preparation_of_pdcu_mcm_41_catalysts_.json,,0,,0,,0,,,
2,Pd/Cu-MCM-41 precursor,all,H₂ gas,flow,,,,,,,,,"reduced Pd/Cu-MCM-41 catalyst (labeled as iPdCu-Sil-HT, iPdCu-Teos-HT, bPdCu-Sil-MW, bPdCu-Teos-MW)",329.85,1.00,,,-,_20260321_202218_gregori_2014_preparation_of_pdcu_mcm_41_catalysts_.json,,0,,0,,0,,,
1,PtBr₄,50 ± 1 mg (97 μmol),CuBr₂,65 ± 1 mg (291 μmol),lithium metal,100 mg (14.4 mmol),naphthalene,1 g (7.8 mmol),THF,100 mL,2-propanol,20 mL (250 mmol),"PtCu₃ bimetallic nanoparticles (amorphous, monophasic, ~2–3 nm)",20.00,2.00,AR,,-,_20260321_202229_g_meci_2013_synthesis_of_ptcu3_bimetallic_nanopart.json,,0,,0,,0,,,
1,Cu(NO₃)₂ aqueous solution,"to achieve Cu/Pd molar ratios of 0.1/1, 0.25/1, 0.5/1, 1/1, 3/1, 5/1",γ-Al₂O₃ support,not specified,,,,,,,,,Cu-impregnated γ-Al₂O₃,,,AIR,PdCu,-,_20260321_202511_fang_2014_catalytic_hydrodechlorination_of_4_chlor.json,,0,,0,,0,,,110.00
2,PdCl₂ aqueous solution,to achieve 1 wt% Pd,Cu-impregnated γ-Al₂O₃,as prepared in step 1,,,,,,,,,Pd–Cu/γ-Al₂O₃ bimetallic catalysts (JZ-1 to JZ-6),110.00,2.00,AIR,PdCu,-,_20260321_202511_fang_2014_catalytic_hydrodechlorination_of_4_chlor.json,,0,,0,,0,,,
1,[Ni(H₂O)₆][Co(dipic)₂]·2H₂O,10 mmol (5.920 g),deionized water,100 mL,γ-Al₂O₃,1.0 g,,,,,,,[Ni(H₂O)₆][Co(dipic)₂]·2H₂O/Al₂O₃ precursor,,,AIR,Ni Co,-,_20260321_202524_farzanfar_rezvani_2015_inorganic_complex_precursor.json,,0,,0,,0,yes,,30.00
2,[Ni(H₂O)₆][Co(dipic)₂]·2H₂O/Al₂O₃ precursor,all,,,,,,,,,,,Ni-Co/Al₂O₃ catalyst,800.00,4.00,AIR,Ni Co,-,_20260321_202524_farzanfar_rezvani_2015_inorganic_complex_precursor.json,,0,,0,,0,,,
1,H2PtCl6,aqueous solution,SiO2,support,,,,,,,,,Pt/SiO2,,,AIR,PtSn,2.63 Å,_20260321_225103_inoue_1995_catalytic_synthesis_of_unsaturated_nitr.json,,0,,0,,0,,,399.85
2,SnMe4,vapour,Pt/SiO2,pre-formed catalyst,,,,,,,,,Pt-Sn/SiO2,149.85,0.50,CO,PtSn,2.63 Å,_20260321_225103_inoue_1995_catalytic_synthesis_of_unsaturated_nitr.json,,0,,0,,0,,,
1,Pd precursor (not specified),not specified,Ni precursor (not specified),not specified,water,in water-in-oil microemulsion,aerosol-OT,"surfactant, not quantified",isooctane,"oil phase, not quantified",,,Pd₀.₅Ni₀.₅ bimetallic nanoparticles (Pd-Ni B-NPs),,,AIR,,-,_20260321_225136_heshmatpour_abazari_2014_formation_of_dispersed_pa.json,,0,,0,,0,,,
1,Pd(II) salt,not specified,Au(III) salt,not specified,Cupriavidus necator cells,"biomass support, not quantified",,,,,,,monometallic bio-supported Pd(0) and Au(0) nanoparticles,,,AIR,,-,_20260321_225436_hosseinkhani_2012_microbially_supported_synthesis_.json,,0,,0,,0,,,
2,monometallic Pd(0) nanoparticles on C. necator,all from step 1,Au(III),1 mM final concentration,formate,25 mM final concentration,monometallic Au(0) nanoparticles on C. necator,all from step 1,Pd(II),1 mM final concentration,formate,25 mM final concentration,bimetallic bio-supported Pd-Au nanoparticles,,,AIR,,-,_20260321_225436_hosseinkhani_2012_microbially_supported_synthesis_.json,,0,,0,,0,,,
1,(NH4)6Mo7O24·4H2O,1 mmol,thiourea,40 mmol,deionized water,not specified,,,,,,,dried Mo-thiourea (Mo-TU) precursor,,,AIR,,-,_20260321_225448_itthibenchapong_2015_a_facile_and_low_cost_synthes.json,,0,,0,,0,yes,3.00,
2,Mo-thiourea (Mo-TU) precursor,all,Ni(NO3)2·6H2O,for Ni-doped samples (x = 0.1 or 0.3 mol Ni/mol(Ni+Mo)),γ-Al2O3,85 wt% of catalyst (for Ni-MoS2/Al2O3),,,,,,,Ni-doped MoS2 or Ni-doped MoS2/Al2O3,450.00,4.00,AR,,-,_20260321_225448_itthibenchapong_2015_a_facile_and_low_cost_synthes.json,,0,,0,,0,,,
1,Pd(CH3COO)2,not specified,Cu(NO3)2·2.5H2O,not specified,acetone,"solvent, not quantified",amorphous silica (Davisil Grade 62),"support, not quantified",,,,,"Pd-Cu/SiO2 bimetallic catalyst (e.g., Pd(0.34)-Cu/SiO2)",449.85,5.00,AIR,PdCu,-,_20260321_225514_jiang_2015_bimetallic_pd_cu_catalysts_for_selectiv.json,,0,,0,,0,,,
1,[Rh(acac)(COD)],200 mg (0.65 mmol),2-(diphenylphosphino)pyridine (PPh₂Py),350 mg (1.3 mmol),,,,,,,,,[Rh(acac)(PPh₂Py)]₂,,,AIR,Rh Ru,2.901 Å,_20260321_225828_kartashova_2015_synthesis_of_a_bimetallic_p_n_brid.json,,0,,0,,0,yes,1.00,
2,[Rh(acac)(PPh₂Py)]₂,100 mg (0.14 mmol),[Cp*Ru(CH₃CN)₃][OTf],70 mg (0.14 mmol),,,,,,,,,[Cp*Ru(PPh₂Py)Rh(acac)][OTf],,0.50,AIR,Rh Ru,2.901 Å,_20260321_225828_kartashova_2015_synthesis_of_a_bimetallic_p_n_brid.json,,0,,0,,0,yes,0.50,
1,magnesium nitrate aqueous solution,not specified,nanoporous MgO support,not specified,,,,,,,,,nanoporous MgO (250 m²/g),,,AIR,,-,_20260321_230037_izadi_2012_synthesis_of_carbon_nanofibres_over_nan.json,,0,,0,,0,,,550.00
2,"aqueous transition metal salt solution (Ni, Cu, Co, or Mo)",adjusted to desired molar ratios,nanoporous MgO,not specified,,,,,,,,,"bimetallic Ni-MgO-based catalysts (e.g., Ni-Cu-MgO, Ni-Co-MgO, Ni-Mo-MgO)",70.00,4.00,AIR,,-,_20260321_230037_izadi_2012_synthesis_of_carbon_nanofibres_over_nan.json,,0,,0,,0,,,
1,Ni(NO3)2·6H2O,not specified,Co(NO3)2·6H2O,"not specified, 1:1 molar ratio with Ni salt",polydopamine,not specified,,,,,,,Ni²⁺-Co²⁺ @polydopamine,,,AIR,NiCoN6,,_20260322_001750_kumar_2021_moving_beyond_bimetallic_alloy_to_singl.json,N,6,,0,,0,,,
2,Ni²⁺-Co²⁺ @polydopamine,not specified,dicyandiamide,7 times mass of precursor,,,,,,,,,NiCo-SAD-NC,800.00,2.00,,NiCoN6,,_20260322_001750_kumar_2021_moving_beyond_bimetallic_alloy_to_singl.json,N,6,,0,,0,,,
1,Pd(NO₃)₂ solution,1.07 g (diluted to 7.96 mL),c-Al₂O₃ powder,8.0 g,,,,,,,,,Pd/Al₂O₃,,,AIR,,-,_20260322_002046_lan_2022_synthesis_of_an_advanced_pd_rh_bimetallic.json,,0,,0,,0,yes,5.00,30.00
2,Rh(NO₃)₃ solution,0.99 g (diluted to 4.57 mL),CZ powder (Ce₀.₅Zr₀.₅O₂),8.0 g,Pd/Al₂O₃,"not quantified, physically mixed with Rh/CZ",,,,,,,Pd+Rh (mechanically mixed bimetallic catalyst),100.00,5.00,AIR,,-,_20260322_002046_lan_2022_synthesis_of_an_advanced_pd_rh_bimetallic.json,,0,,0,,0,yes,5.00,
1,Pt wire (99.99%),2 mm diameter electrode,Pd wire (99.99%),2 mm diameter electrode,0.01 M KOH aqueous solution,200 mL,deionized water,200 mL,,,,,"Pt-Pd bimetallic nanoparticles (e.g., Pt₄₀Pd₆₀, Pt₉₄Pd₆, Pt₁Pd₉₉)",,,AIR,,-,_20260322_002242_kim_2014_facile_synthesis_of_pt_pd_bimetallic_nano.json,,0,,0,,0,,,
1,AuCl₃,in 5 mL ethanol,PtCl₂,in 5 mL ethanol,mercaptopropyltriethoxysilane (MPTES),equimolar to metal precursors,,,,,,,Au-Pt/MPTES complex solution,,0.00,AIR,AuPt,-,_20260322_002251_la_parola_2013_structure_control_of_silica_support.json,,0,,0,,0,,,
1,C₆H₅CHO,0.2 mmol,CH₃NO₂,107 μL (≈ 2.0 mmol),L₁,10 mol% (relative to aldehyde),Ni(OAc)₂·4H₂O,20 mol% (relative to aldehyde),C₅H₁₁NO,10 equiv (relative to aldehyde),,,(R/S)-2-hydroxy-2-phenyl-1-nitroethane,0.00,48.00,AIR,Ni2L1,,_20260322_002343_liu_2014_asymmetric_henry_reaction_catalyzed_by_a_.json,,0,,0,,0,,,
1,HAuCl₄·3H₂O,0.375 mL of 5 M aqueous solution,(NH₄)₂PdCl₆,0.375 mL of 6 M aqueous solution in 12.5 mL NH₄Cl (0.1 mol/L),Ni foil,"0.5 cm × 0.5 cm, 99.9%",water/Triton X-100/n-hexanol/n-hexane reverse microemulsion,"not specified, used as reaction medium",,,,,Pd-Au bimetallic nanoparticles on Ni substrate (Pd-Au NPs/Ni),,,AIR,,-,_20260322_002540_li_2014_facile_preparation_of_pd_au_bimetallic_nan.json,,0,,0,,0,yes,,
1,H₂PtCl₆·nH₂O,11 mL of 0.1 M solution,SnCl₂·2H₂O,0.1 mL of 0.1 M solution,Vulcan XC-72 carbon,appropriate amount for 10 wt% metal loading,NaBH₄,"0.5 M, added slowly",,,,,as-prepared Pt–Sn/C catalyst,,,AIR,,-,_20260322_002645_knani_2014_a_methanol_tolerant_carbon_supported_pt.json,,0,,0,,0,yes,2.00,80.00
2,as-prepared Pt–Sn/C catalyst,all,,,,,,,,,,,heat-treated Pt–Sn/C catalysts,300.00,2.00,HE,,-,_20260322_002645_knani_2014_a_methanol_tolerant_carbon_supported_pt.json,,0,,0,,0,,,
1,AgOH,not specified,graphene (GNs),not specified,,,,,,,,,Ag₂O/GNs,,,,,-,_20260322_002721_li_2016_visible_light_assisted_electro_photo_syner.json,,0,,0,,0,,,
2,"Pd²⁺ precursor (e.g., Pd(NO₃)₂)",not specified,Ag₂O/GNs,not specified,HCOOH,"used as reducing agent, quantity not specified",,,,,,,heterostructured Pd-Ag NPs on graphene (Pd-Ag/GNs),,,AIR,,-,_20260322_002721_li_2016_visible_light_assisted_electro_photo_syner.json,,0,,0,,0,,,
3,Pd-Ag/GNs,not specified,,,,,,,,,,,final Pd-Ag/GNs electrocatalyst,,,,,-,_20260322_002721_li_2016_visible_light_assisted_electro_photo_syner.json,,0,,0,,0,,,
1,AgNO₃,not specified,Pd(NO₃)₂,not specified,"plant extract (e.g., Cinnamomum camphora leaf broth)",not specified,γ-Al₂O₃ support,to achieve 0.5 wt% metal loading,HCl,to adjust pH to ~2,,,Ag-Pd/γ-Al₂O₃ bimetallic catalyst,,1.00,AIR,,-,_20260322_123443_lu_2014_plant_mediated_synthesis_of_ag_pd_alloy_na.json,,0,,0,,0,yes,1.00,
1,CuCl₂·2H₂O,70 mg,NiCl₂·6H₂O,9.51 mg,MCM-41,71.59 mg,NH₃BH₃,34.30 mg (1.0 mmol),,,,,Cu₀.₂Ni₀.₈/MCM-41 catalyst (bimetallic NPs on support),,,HE,,-,_20260322_123617_lu_2014_synergistic_catalysis_of_mcm_41_immobilize.json,,0,,0,,0,yes,,
1,{Fe[N(Si(CH₃)₃)₂]₂},not specified,"(η⁴-1,5-cyclooctadiene)(η⁶-1,3,5-cyclooctatriene)ruthenium(0)",not specified,H₂,"1 bar, 40 mL min⁻¹",mesitylene,"solvent, not quantified",,,,,colloidal FeRu bimetallic nanoparticles (~2 nm),,,,,-,_20260322_123730_meffre_2015_influence_of_chemical_composition_on_t.json,,0,,0,,0,,,150.00
2,colloidal FeRu nanoparticles,in mesitylene solution,mesoporous silica MCF-17,"support, not quantified",sonication,1 h,,,,,,,FeRu/MCF-17 supported bimetallic nanoparticles,,1.00,AIR,,-,_20260322_123730_meffre_2015_influence_of_chemical_composition_on_t.json,,0,,0,,0,,,
1,CO,1 equiv,H2,2 equiv,Pd(2%)-Cu(20%)/ZnAl2O4-ZrO2 (5%),catalyst,,,,,,,CH3OH,260.00,,H2,PdCu,,_20260322_123912_mierczynski_2014_novel_pd_cuznal2o4_zro2_catalysts.json,,0,,0,,0,,,
1,AuCl4⁻,not specified,PtCl6²⁻,not specified,melamine,not specified,hydrazine hydrate,drop-wise addition,graphene oxide (GO),not specified,,,AuPt@Au NCs/rGO,60.00,,,,-,_20260322_123920_liu_2015_one_step_melamine_assisted_synthesis_of_g.json,,0,,0,,0,yes,,
1,H₂PdCl₄,aqueous solution,SiO₂,support,,,,,,,,,Pd/SiO₂,,,AIR,PdAu,-,_20260322_124219_menegazzo_2015_h2o2_direct_synthesis_under_mild_co.json,,0,,0,,0,,,110.00
2,HAuCl₄,aqueous solution,Pd/SiO₂,pre-formed,,,,,,,,,1Pd2AuSi (Pd–Au bimetallic catalyst on SiO₂),500.00,3.00,AIR,PdAu,-,_20260322_124219_menegazzo_2015_h2o2_direct_synthesis_under_mild_co.json,,0,,0,,0,,,
1,RuCl3·nH2O,0.026 g (0.10 mmol),Co(OAc)2·4H2O,0.025 g (0.10 mmol),L-menthol,1.56 g (10.0 mmol),acetaldehyde,1.76 mL (2.00 mmol),ethyl acetate,50 mL,,,L-menthone,20.00,1.50,,Ru Co,-,_20260322_124606_murahashi_1993_aerobic_oxidation_of_alcohols_with_.json,,0,,0,,0,yes,1.50,
1,H₂AHIB,0.52 g (5 mmol),Ni(OH)₂,0.23 g (2.5 mmol),,,,,,,,,[Ni(HAHIB)₂](aq),,,AIR,,-,_20260322_124709_moneeb_2016_bimetallic_single_source_precursor_for.json,,0,,0,,0,yes,,
2,[Ni(HAHIB)₂](aq),all,MoO₃,0.36 g (2.5 mmol),,,,,,,,,"[Ni(OH₂)₆] cis-[(AHIB)₂O₂Mo] (hexaaquanickel(II) cis-bis-(α-hydroxyisobutyrato-O,O)dioxomolybdate(VI))",,,AIR,,-,_20260322_124709_moneeb_2016_bimetallic_single_source_precursor_for.json,,0,,0,,0,,,
1,γ-Al₂O₃,support prepared in-house (450 m²/g),HAuCl₄,for 1 wt% Au loading,urea,used as precipitant,,,,,,,1 wt% Au/Al₂O₃ (uncalcined),,,AIR,AgAu,-,_20260322_124829_more_2015_activation_by_pretreatment_of_ag_aual2o3.json,,0,,0,,0,,,80.00
2,1 wt% Au/Al₂O₃ (dried),as prepared in step 1,AgNO₃,0.157 g in 20 mL H₂O for 1 wt% Ag loading,,,,,,,,,1Ag-1Au/Al₂O₃ (AgAuAl),80.00,12.00,AIR,AgAu,-,_20260322_124829_more_2015_activation_by_pretreatment_of_ag_aual2o3.json,,0,,0,,0,,,
1,CoCl₂·6H₂O,7.1 mg (0.03 mmol),palladium precursor (unspecified),equimolar to Co,"polyol solvent (e.g., ethylene glycol or triethylene glycol)",25 mL,Poly(N-vinyl-pyrrolidone) (PVP),"stabilizing agent, unspecified quantity",,,,,colloidal CoPd bimetallic nanoparticles (NPs) in solution,,,AIR,,-,_20260322_124912_menezes_2013_bimetallic_co_pd_catalysts_study_of_p.json,,0,,0,,0,,,200.00
2,colloidal CoPd NPs,all,"support material (e.g., activated carbon, MgO, or γ-Al₂O₃)",unspecified,,,,,,,,,"supported CoPd bimetallic catalyst (e.g., CoPd/MgO)",400.00,0.50,,,-,_20260322_124912_menezes_2013_bimetallic_co_pd_catalysts_study_of_p.json,,0,,0,,0,,,
1,CuCl,"1 mmol, 130 mg",NiCl₂·6H₂O,"1 mmol, 130 mg",Fe₃O₄,"4 g, 17 mmol, powder < 5 μm, BET area: 9.86 m²/g",,,,,,,NiO/Cu-Fe₃O₄ bimetallic catalyst,,0.17,AIR,Ni Cu,-,_20260322_140531_p_rez_2014_multicomponent_azide_alkyne_cycloadditi.json,,0,,0,,0,yes,0.17,
