step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,1-chloro-4-nitrobenzene,0.5 mmol,NaBH4,2 mmol (74 mg),NH2-BDC-FeCu MOF catalyst,20 mg,H2O:EtOH,1.5 mL (v/v = 1:0.5),,,,,4-chloroaniline,,0.75,AIR,FeCu,,_20260318_111452_khosravi_2022_bimetallic_fe_cu_metal_organic_frame.json,,0,,0,,0,,,
1,Na2PdCl4,not specified,K2PtCl4,not specified,cetyltrimethylammonium chloride (CTAC),200 mM (for optimal NDs); also tested 2.5每500 mM,ascorbic acid (AA),not specified,,,,,"Pd每Pt nanodendrites (Pd每Pt NDs), average diameter 29.2 ㊣ 4.9 nm",,0.08,AIR,,-,_20260318_111529_pramadewandaru_2021_highly_enhanced_electrocatalyt.json,,0,,0,,0,,,
1,FeCl2﹞4H2O,0.596 g (3.0 mM),Cu(NO3)2﹞3H2O,0.725 g (3.0 mM),"2,5-dihydroxy-1,4-benzenedicarboxylate (DHTA)",0.594 g (3.0 mM),"N,N-dimethylformamide (C3H7NO)",30 mL,ethanol (C2H5OH),30 mL,,,FeCu-MOF,150,24,HE,FeCu,,_20260318_111612_li_2022_synthesis_of_bimetallic_fecu_mof_and_its_p.json,,0,,0,,0,,,
1,hexadecyltrimethylammonium bromide,template,"silica source (e.g., tetraethyl orthosilicate)",for Si/Al/Nb = 35/1/x framework,"aluminium source (e.g., Al(NO3)3 or NaAlO2)",to achieve Al/Si = 1/35,"niobium source (e.g., NbCl5 or Nb(OC2H5)5)","to achieve Nb/Si = x/35, x = 0.3, 0.7, or 0.9",,,,,"AlNb-MCM-41 (Si/Al/Nb = 35/1/x, x = 0.3, 0.7, or 0.9)",100,,,NbV AlIII,-,_20260318_111909_fan_2022_bimetallic_aluminum_and_niobium_doped_mcm.json,I,1,I,1,I,1,,,
1,Ag(O2CCF3),not specified,Ti(OiPr)4,not specified,thiacalix[4]arene (TC4A),not specified,"4,5-imidazoledicarboxylic acid (IdcH2)",not specified,,,,,"Ti8Ag8 yellow prismatic crystals, [HNaTi8Ag8O2(TC4A)4(HIdc)6(iPrO)10(DMF)2(H2O)]",80,0.03,AIR,Ag2TiS2O2,,_20260318_112124_tian_2023_stepwise_assembly_of_thiacalix_4_arene_p.json,S,2,O,2,,0,,,
1,CoCl2﹞6H2O,2.00 mmol (in 40 mL water),(NH4)6Mo7O24﹞4H2O,0.14 mmol (in 20 mL water),C5H10NNaS2﹞3H2O,2.00 mmol (in 20 mL water),,,,,,,Co0.5Mo0.5Sx,200,,AIR,,-,_20260318_112205_inoc_ncio_2022_taking_advantage_of_teamwork_unsupp.json,,0,,0,,0,,,
1,Na2PdCl4,55 mg,polyvinylpyrrolidone (PVP),100 mg,L-ascorbic acid (AA),60 mg,KBr,600 mg,deionized water,11 mL,,,Pd nanoseeds,,,AIR,,-,_20260318_112218_tian_2022_highly_sensitive_mems_sensor_using_bimet.json,,0,,0,,0,yes,3,80
2,Pd nanoseeds solution,0.1 mL,PVP solution,0.1 mL (18 mg/mL),ascorbic acid (AA) solution,0.4 mL (65 mM),AgNO3 aqueous solution,"variable, 1.2 mM, injected via syringe pump",deionized water,4 mL,,,Pd每Ag core-shell bimetallic nanoparticles,,0.33,AIR,,-,_20260318_112218_tian_2022_highly_sensitive_mems_sensor_using_bimet.json,,0,,0,,0,yes,0.33,
1,citric acid,certain amount,distilled water,sufficient to dissolve citric acid,,,,,,,,,solution A,,,AIR,,-,_20260318_112440_wang_2023_bimetallic_fe_co_catalysts_for_the_one_s.json,,0,,0,,0,,,
2,iron(III) nitrate nonahydrate,"Fe/Co molar ratio = 3每15, Fe/K = 2每8 (relative to citric acid)",cobalt(II) nitrate hexahydrate,as per Fe/Co ratio,potassium nitrate,as per Fe/K ratio,,,,,,,solution B ↙ mixture solution C,,,AIR,,-,_20260318_112440_wang_2023_bimetallic_fe_co_catalysts_for_the_one_s.json,,0,,0,,0,yes,,
3,solution C,all,,,,,,,,,,,dark brown slurry (gel),,,AIR,,-,_20260318_112440_wang_2023_bimetallic_fe_co_catalysts_for_the_one_s.json,,0,,0,,0,yes,2,80
4,pre-carbonized foam structure (from gel),ground material,,,,,,,,,,,"FexCoKy catalyst (e.g., Fe9CoK6)",120,2,AIR,,-,_20260318_112440_wang_2023_bimetallic_fe_co_catalysts_for_the_one_s.json,,0,,0,,0,,,
1,RhCl3﹞xH2O,theoretical 2.5 wt% loading,PtCl4,theoretical 2.5 wt% loading,ethylene glycol (EG)/H2O (3:1 v/v),solvent mixture,Vulcan XC-72,support,,,,,Rh2.5Pt2.5/Vulcan XC-72-polyol (as-synthesized precursor),200,,AIR,,-,_20260318_112708_lende_2022_hydrogenation_of_polyethylene_terephtha.json,,0,,0,,0,,,
1,Ni(NO3)2﹞6H2O,0.4 mmol,Co(NO3)2﹞6H2O,0.8 mmol,urea,1.2 mmol,deionized water,30 mL,,,,,homogeneous solution,,,AIR,,-,_20260318_112727_liu_2021_upcycling_waste_plastics_into_multi_walle.json,,0,,0,,0,yes,0.5,
2,汐-Al2O3,0.72 g,,,,,,,,,,,dispersion of 汐-Al2O3 in solution,,,AIR,,-,_20260318_112727_liu_2021_upcycling_waste_plastics_into_multi_walle.json,,0,,0,,0,yes,1,
3,dispersion of 汐-Al2O3 in solution,all,,,,,,,,,,,precipitated NiCo2O4/汐-Al2O3,,,HE,,-,_20260318_112727_liu_2021_upcycling_waste_plastics_into_multi_walle.json,,0,,0,,0,,,120
4,precipitated NiCo2O4/汐-Al2O3,as obtained,,,,,,,,,,,ball-milled NiCo2O4/汐-Al2O3 mixture,,,AIR,,-,_20260318_112727_liu_2021_upcycling_waste_plastics_into_multi_walle.json,,0,,0,,0,,,
5,ball-milled NiCo2O4/汐-Al2O3 mixture,as obtained,,,,,,,,,,,NiCo2O4/汐-Al2O3 catalyst (spinel phase),700,2,AIR,,-,_20260318_112727_liu_2021_upcycling_waste_plastics_into_multi_walle.json,,0,,0,,0,,,
1,C32H20O4,0.20 g (0.599 mmol),C7H10N2,0.15 g (1.20 mmol),CH3OH,10 mL,,,,,,,S-L1 ligand (orange oil),,,AIR,Zn2N4O2,,_20260318_112912_santulli_2023_zinc_complexes_bearing_dinucleating_.json,N,4,O,2,,0,yes,,
2,Zn[N(SiMe3)2]2,0.29 g (0.726 mmol),S-L1 ligand,0.20 g (0.363 mmol),C6H6,6.5 mL,,,,,,,S-1 complex (orange powder),,,N2,Zn2N4O2,,_20260318_112912_santulli_2023_zinc_complexes_bearing_dinucleating_.json,N,4,O,2,,0,yes,,
1,L1H2,0.300 g (4.06 ℅ 10?? mol),Zn[N(SiMe3)2]2,0.314 g (8.14 ℅ 10?? mol),,,,,,,,,complex 1 (yellow powder),,,,Zn2,,_20260318_113026_santulli_2023_cooperative_effects_of_schiff_base_b.json,,0,,0,,0,yes,,
1,Fe(acac)3,0.02 mol,Pt(acac)2,0.01 mol,glycerol,50 mL,PEG-600,10 mL,,,,,FePt nanoparticles,100,3.5,,,-,_20260318_113259_baruah_2023_facile_synthesis_of_peg_glycerol_coate.json,,0,,0,,0,,,
1,Ni(NO3)2﹞6H2O,14.09 mg,H2PtCl6﹞6H2O,22.4 mg,oleylamine,1 mL,,,,,,,metal precursor solution,,,N2,,-,_20260318_113458_ort_z_herrera_2022_effect_of_different_carbon_supp.json,,0,,0,,0,yes,0.17,2
2,metal precursor solution,all,oleylamine,9 mL,CNTs or CNFs,82 mg (to achieve 20 wt.% PtNi loading),,,,,,,"PtNi nanoparticles (step 2a), then PtNi/CNT or PtNi/CNF catalyst (step 2b)",160,1,N2,,-,_20260318_113458_ort_z_herrera_2022_effect_of_different_carbon_supp.json,,0,,0,,0,,,
1,"Cu(II) salt (e.g., CuSO4﹞5H2O or unspecified Cu(II) precursor)",not specified,formate ion,0.2 mol dm?3,Ar gas,bubbled for 20 min prior and throughout sonication,XC-72 carbon support,"implied, as catalysts are carbon-supported",,,,,Cu/Cu2O nanoparticles on carbon (Cu2O-sample),,,AR,,-,_20260318_113528_hansen_2022_sonochemical_synthesis_of_cu_pt_bimeta.json,,0,,0,,0,,,3
2,PtCl4,50 mL of 0.2 mmol dm?3 solution,Cu/Cu2O-carbon suspension (from step 1),all,,,,,,,,,Cu@Pt bimetallic core-shell nanoparticles on carbon (Cu@Pt-sample),3,0.07,AR,,-,_20260318_113528_hansen_2022_sonochemical_synthesis_of_cu_pt_bimeta.json,,0,,0,,0,,,
1,AgNO3,10 mg,HAuCl4,10 mg,ascorbic acid,40 mg,,,,,,,Au每Ag@C nanocatalyst (core每shell Au每Ag nanoparticles embedded in carbon matrix),1000,0.05,AIR,,-,_20260318_113627_department_of_physics_sona_college_of_technology_a.json,,0,,0,,0,,,
1,"Pt precursor (e.g., H2PtCl6)",3 wt%,"M precursor (M = Bi, Sn, etc.)","1 wt% (for Pt3M, M:Pt = 1:3 molar ratio)",CeO2 (JRC-CEO-2),support,,,,,,,Pt3M/CeO2 bimetallic catalyst,600,1,,,-,_20260318_113730_zhang_2023_electroassisted_methane_coupling_using_.json,,0,,0,,0,,,
1,AlCp*,1 equiv,Zn(HMDS)2,1 equiv,,,,,,,,,1a = [(HMDS)(Cp*)AlZn(HMDS)],,,N2,AlZn,2.3945 ?,_20260318_113822_dankert_hevia_2024_synthesis_and_modular_reactivit.json,,0,,0,,0,,,
2,1a,1 equiv,DIC,1 equiv,,,,,,,,,3a = [(HMDS)(Cp*)Al{(NiPr)2C}Zn(HMDS)],,1,,AlZn,2.3945 ?,_20260318_113822_dankert_hevia_2024_synthesis_and_modular_reactivit.json,,0,,0,,0,,,
1,PVP,3 g,Cu(OAc)2﹞4H2O,0.37 g,Co(OAc)2﹞4H2O,0.91 g,ethanol,150 mL,,,,,pink solid (Co-Cu/PVP),,,AIR,CoCuN4,,_20260318_114039_bharali_2023_hydroxyapatite_nanoparticles_decorate.json,N,4,,0,,0,yes,8,78
2,Ca(NO3)2﹞4H2O,calculated for Ca/P=1.67,(NH4)H2PO4,calculated for Ca/P=1.67,CTAB,0.1 g,ammonia solution,dropwise to pH=11,,,,,HAp nanoparticles,,,AIR,CoCuN4,,_20260318_114039_bharali_2023_hydroxyapatite_nanoparticles_decorate.json,N,4,,0,,0,,,180
3,2-methylimidazole,1 g,ethanol,50 mL,Co-Cu/PVP,20 mg,HAp nanoparticles,50 mg,,,,,purple precipitate (Co-Cu/ZIF@HAp),,,AIR,CoCuN4,,_20260318_114039_bharali_2023_hydroxyapatite_nanoparticles_decorate.json,N,4,,0,,0,yes,3,90
4,purple precipitate (Co-Cu/ZIF@HAp),all,,,,,,,,,,,Co-Cu/ZIF@HAp photocatalyst,60,,AIR,CoCuN4,,_20260318_114039_bharali_2023_hydroxyapatite_nanoparticles_decorate.json,N,4,,0,,0,,,
1,CoCl2﹞6H2O,4 mmol,CsCl,8 mmol,K4[Mo(CN)8],4 mmol,deionized water,40 mL (20 mL + 20 mL),,,,,octacyanometalate-based network nanoparticles (Cs-Co-Mo OCM),,,AIR,,-,_20260318_114212_blin_2023_carbides_co_mo_or_w_nanoparticles_from_o.json,,0,,0,,0,yes,0.5,
2,Cs-Co-Mo OCM nanoparticles,as synthesized,,,,,,,,,,,"Co3Mo3C, Co6Mo6C, Co2Mo4C 灰-carbide nanoparticles (5 nm)",900,2,AR,,-,_20260318_114212_blin_2023_carbides_co_mo_or_w_nanoparticles_from_o.json,,0,,0,,0,,,
1,Al(NO3)3﹞9H2O,not specified,"2,2'-bipyridine-5,5'-dicarboxylic acid (H2dcbpy)",not specified,acetic acid (HOAc),not specified,"N,N'-dimethylformamide (DMF)",not specified,,,,,MOF-253,,,AIR,Ni2H22,,_20260318_114257_guo_2023_generation_and_stabilization_of_a_dinicke.json,H,22,,0,,0,,,120
2,MOF-253,not specified,"NiBr2(1,2-dimethoxyethane) [NiBr2(dme)]",stoichiometric (1 equiv per bipyridine site),,,,,,,,,MOF-NiBr2,,,AIR,Ni2H22,,_20260318_114257_guo_2023_generation_and_stabilization_of_a_dinicke.json,H,22,,0,,0,,,
3,MOF-NiBr2,not specified,NaBHEt3,excess,,,,,,,,,MOF-NiH,,,AIR,Ni2H22,,_20260318_114257_guo_2023_generation_and_stabilization_of_a_dinicke.json,H,22,,0,,0,,,
1,"Pt precursor (e.g., H2PtCl6)",not specified,"Ru precursor (e.g., RuCl3)",not specified,ethylene glycol,solvent/reducing agent,Vulcan XC-72 carbon black,"support, amount not specified",,,,,"PtRu/C catalyst (bimetallic nanoparticles, ~1.9每3.9 nm, Pt:Ru = 1:1 atomic ratio)",197,3,AIR,,-,_20260318_114438_menshikov_2023_synthesis_composition_structure_and.json,,0,,0,,0,,,
1,Ti3AlC2,2 g,HF (40%),20 mL,,,,,,,,,Ti3C2 (black powder),,,AIR,PdCu alloy,-,_20260318_114525_zhu_2022_one_step_synthesis_of_pdcu_ti3_c2_with_hi.json,,0,,0,,0,yes,24,
2,Ti3C2,200 mg,ethylene glycol (EG),50 mL,Pd(Ac)2,22 mg,Cu(Ac)2,72 mg,polyvinylpyrrolidone (PVP),300 mg,,,PdCu@Ti3C2,170,2,AIR,PdCu alloy,-,_20260318_114525_zhu_2022_one_step_synthesis_of_pdcu_ti3_c2_with_hi.json,,0,,0,,0,yes,2,
1,Co(NO3)2﹞6H2O,1 M aqueous solution,Ce(NO3)3﹞6H2O,1 M aqueous solution,NaOH,"1 M, dropwise to pH 8",,,,,,,CoCeO2 NPs,500,4,AIR,CoCeO2,-,_20260318_114555_shaikh_2023_bimetallic_coceo2_oxide_nanoparticles_.json,O,2,,0,,0,yes,4,
1,UiO-66-NH2,crystalline powder,Cu2+,stepwise added,Fe3+,stepwise added,2-methylimidazole (meIm),dibasic linker,,,,,"Cu,Fe-loaded UiO-66-NH2 precursor",,,AIR,CuFeO2,3.35 ?,_20260318_114626_xue_2023_controlled_synthesis_of_cu_fe_dual_atom_c.json,O,2,,0,,0,,,
2,"Cu,Fe-loaded UiO-66-NH2 precursor",all,,,,,,,,,,,"Cu,Fe-UiO DAC",180,,AIR,CuFeO2,3.35 ?,_20260318_114626_xue_2023_controlled_synthesis_of_cu_fe_dual_atom_c.json,O,2,,0,,0,,,
1,DPPF-Pd,not specified,"Fe precursor (not explicitly named, likely FeCl3 or similar)",not specified,"monomer(s) for hyper-crosslinked polymer (HCP) synthesis (e.g., dichloroxylene or similar aromatic compound)",not specified,,,,,,,HCP@Pd/Fe bimetallic hyper-crosslinked polymer,80,3,AIR,PdFe alloy,-,_20260318_114746_tang_2023_facile_synthesis_hyper_crosslinked_pdfe_.json,,0,,0,,0,,,
1,ZrCl4,0.56 g (2.40 mmol),2-aminoterephthalic acid (NH2-BDC),0.92 g (5.10 mmol),benzoic acid,8.80 g (72.06 mmol),"N,N'-dimethylformamide (DMF)",29 mL total (9 mL + 20 mL),,,,,UiO-66-NH2,,,HE,,-,_20260318_115131_liu_2022_comparative_study_of_pd_ni_bimetallic_cat.json,,0,,0,,0,,,180
2,Ni(NO3)2﹞6H2O,25.0 mg (0.086 mmol),Pd(CH3COO)2,19.2 mg (0.086 mmol),absolute ethanol,1 mL,UiO-66-NH2,0.3 g,,,,,PdNi/UiO-66-NH2 (1:1),20,1,AIR,,-,_20260318_115131_liu_2022_comparative_study_of_pd_ni_bimetallic_cat.json,,0,,0,,0,,,
1,"parent catalyst (e.g., Cu/TiO2 or Cu/SiO2)",1 g,,,,,,,,,,,H2-reduced parent catalyst,,,H2,CuPd,-,_20260318_115153_cao_2023_synthetic_strategies_of_supported_pd_base.json,,0,,0,,0,,,399.85
2,"metal每organic complex (secondary metal precursor, e.g., Pd precursor)",not specified,organic solvent,not specified,,,,,,,,,dried bimetallic catalyst precursor,,,N2,CuPd,-,_20260318_115153_cao_2023_synthetic_strategies_of_supported_pd_base.json,,0,,0,,0,yes,,
3,dried bimetallic catalyst precursor,not specified,,,,,,,,,,,"bimetallic catalyst (e.g., CuPd/TiO2 or CuPd/SiO2)",499.85,,H2,CuPd,-,_20260318_115153_cao_2023_synthetic_strategies_of_supported_pd_base.json,,0,,0,,0,,,
