step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,natural zeolite (clinoptilolite-rich),"sieved to 40–90 μm, washed with distilled water, boiled in final wash",ammonium chloride,0.5 M solution,,,,,,,,,acid-form NZ (H⁺-exchanged zeolite),,,AIR,Fe Cu,-,_20260317_135907_prieto_laria_2025_from_the_lab_to_the_river_bimeta.json,,0,,0,,0,,,450.00
2,FeSO₄·7H₂O,0.5 M solution,NZ,fresh suspension,,,,,,,,,NZ-Fe,,,AIR,Fe Cu,-,_20260317_135907_prieto_laria_2025_from_the_lab_to_the_river_bimeta.json,,0,,0,,0,,,80.00
3,Cu(NO₃)₂·3H₂O,0.5 M solution,NZ-Fe,fresh suspension,,,,,,,,,NZ-Fe-Cu bimetallic zeolitic catalyst,80.00,4.00,AIR,Fe Cu,-,_20260317_135907_prieto_laria_2025_from_the_lab_to_the_river_bimeta.json,,0,,0,,0,,,
1,Aloe vera gel,40 mL,RuCl₃·3H₂O,40 mL of 0.5 mM aqueous solution,,,,,,,,,Ru NPs (intermediate),,,AIR,,-,_20260317_140100_begum_2026_phytogenic_synthesis_of_gold_ruthenium_.json,,0,,0,,0,yes,,
2,Ru NPs (intermediate),all,HAuCl₄·3H₂O,10 mL of 5 mM aqueous solution,,,,,,,,,Au–Ru bimetallic nanoparticles (Au–Ru NPs),,,AIR,,-,_20260317_140100_begum_2026_phytogenic_synthesis_of_gold_ruthenium_.json,,0,,0,,0,yes,,
1,Zn(NO3)2·6H2O,1186 mg,cetyltrimethylammonium bromide,30 mg,deionized water,40 mL,,,,,,,solution A,,,AIR,Fe2N6,2.22 Å,_20260317_140351_nl4c00576_si_002.json,N,6,,0,,0,,,
2,2-methylimidazole,18.16 g,deionized water,280 mL,,,,,,,,,solution B,,,AIR,Fe2N6,2.22 Å,_20260317_140351_nl4c00576_si_002.json,N,6,,0,,0,,,
3,solution A,all,solution B,all,,,,,,,,,white powder (ZIF-8 analog),,,AIR,Fe2N6,2.22 Å,_20260317_140351_nl4c00576_si_002.json,N,6,,0,,0,yes,0.33,
4,cyclopentadienyliron dicarbonyl dimer (Fe dimer),2.1 mg,dimethyl formamide,150 mL,white powder (ZIF-8 analog),150 mg,dopamine hydrochloride,45 mg,Tris-HCl buffer (0.05:0.015 M),300 mL,,,"black powder (Fe-doped, dopamine-coated precursor)",,,AIR,Fe2N6,2.22 Å,_20260317_140351_nl4c00576_si_002.json,N,6,,0,,0,yes,12.00,
5,"black powder (Fe-doped, dopamine-coated precursor)",120 mg,,,,,,,,,,,Fe2@NG DAC,900.00,1.00,AR,Fe2N6,2.22 Å,_20260317_140351_nl4c00576_si_002.json,N,6,,0,,0,,,
1,Zn(NO3)2·6H2O,standard,2-methylimidazole,standard,methanol,standard,,,,,,,ZIF-8,,,AIR,Fe2N6,2.41 Å,_20260317_140712_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
2,cyclopentadienyliron dicarbonyl dimer (Fe dimer),standard loading,,,,,,,,,,,Fe-dimer@ZIF-8,,,AIR,Fe2N6,2.41 Å,_20260317_140712_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
3,dopamine hydrochloride,standard coating amount,,,,,,,,,,,polydopamine-coated Fe-dimer@ZIF-8,,,AIR,Fe2N6,2.41 Å,_20260317_140712_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
4,polydopamine-coated Fe-dimer@ZIF-8,all,,,,,,,,,,,Fe2@NG DAC,900.00,1.00,AR,Fe2N6,2.41 Å,_20260317_140712_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
1,Palladium(II) acetylacetonate (Pd(acac)₂),not specified (used as precursor),Zn pieces (>99.8%),not specified (used as precursor),,,,,,,,,PdZn-ZnO nanopowder,,,,PdZn,-,_20260317_140747_2024_single_step_in_situ_synthesis_of_bimetallic_c.json,,0,,0,,0,,,
1,Fe-HZ5-TF,20 mg,CH₄,20 bar,CO,10 bar,H₂O,20 mL of 0.5 mol/L aqueous solution,,,,,acetic acid (CH₃COOH),50.00,0.50,CO,FeCu,-,_20260317_140756_cheng_2024_atomically_dispersed_iron_copper_dual_m.json,,0,,0,,0,,,
1,H₂PdCl₄,"5 mL, 10 mM, pH = 0.9",deionized water,100 mL,ascorbic acid solution,"0.5 mL, 0.1 M",H₂PtCl₆,"25–1000 μL, 10 mM, pH = 0.9",,,,,"Pd/Pt truncated nanocubes (denoted Pd/Ptₓ, x = Pt/Pd molar ratio)",94.85,2.00,N₂,,-,_20260317_140808_bai_2024_synthesis_of_bimetallic_pdpt_truncated_na.json,,0,,0,,0,,,
1,(NH4)6Mo7O24·4H2O,target loading 0.33 wt% Mo,"SiO2 (Aerosil, 200 m²/g)",2 g,,,,,,,,,MoO3/SiO2,,,AIR,IrMo alloy,-,_20260317_140954_ehinger_2025_deoxygenation_of_ketones_and_ketoeste.json,,0,,0,,0,,,500.00
2,Ir(COD)(DIA),0.50 mmol,MoO3/SiO2,2 g,benzene,20 mL,,,,,,,Ir(COD)(DIA)-grafted MoO3/SiO2 (yellow solid),,,AR,IrMo alloy,-,_20260317_140954_ehinger_2025_deoxygenation_of_ketones_and_ketoeste.json,,0,,0,,0,,,
3,Ir(COD)(DIA)-grafted MoO3/SiO2,as prepared,,,,,,,,,,,"Ir-Mo/SiO2 (black powder, alloyed nanoparticles, 2.0 nm)",500.00,8.00,,IrMo alloy,-,_20260317_140954_ehinger_2025_deoxygenation_of_ketones_and_ketoeste.json,,0,,0,,0,,,
1,PcCu,not specified,Zn(NO3)2,not specified,Fe(NO3)3,not specified,2-methylimidazole,not specified,NaOH,"5 mol·L⁻¹, to pH 11",H2O,"deionized water, volume not specified",PcCu-Fe-ZIF-8,,,,CuFeN6,,_20260317_141154_zafar_2025_advances_in_the_synthesis_of_fe_based_b.json,N,6,,0,,0,,,150.00
2,PcCu-Fe-ZIF-8,all,,,,,,,,,,,CuFeN6C,1000.00,1.00,N2,CuFeN6,,_20260317_141154_zafar_2025_advances_in_the_synthesis_of_fe_based_b.json,N,6,,0,,0,,,
1,RuCl₃·xH₂O,5 wt.% relative to TiO₂,Ni(NO₃)₂·6H₂O,1–5 wt.% relative to TiO₂ (Ni:Ru = 0.2–1 wt.% ratio),TiO₂ P25,"support, anatase-rutile mixed phase",methanolic aqueous suspension,solvent medium,,,,,Ru-Ni/TiO₂ catalyst,,2.50,AIR,Ru Ni,,_20260317_141339_ruppert_2024_titania_supported_sub_nanometer_sized.json,,0,,0,,0,yes,2.50,
1,NiCl₂·6H₂O,2.37 mg,FeCl₃·6H₂O,2.70 mg,NCB,20 mg,deionized water,10 mL,,,,,wet mixture,,,AIR,FeNi N C,,_20260317_141621_yang_2024_cohesive_energy_discrepancy_drives_the_f.json,N,1,C,1,,0,yes,24.00,
2,wet mixture,all,,,,,,,,,,,FeNi@NCB,500.00,1.00,AR,FeNi N C,,_20260317_141621_yang_2024_cohesive_energy_discrepancy_drives_the_f.json,N,1,C,1,,0,,,
1,Cu(NO3)2·3H2O,nominal 20% wt. loading (CuO + NiO),Ni(NO3)2·6H2O,nominal 20% wt. loading (CuO + NiO),activated carbon (AC),"support, particle size < 100 μm",,,,,,,Cu-Ni/AC bimetallic catalyst,-210.15,24.00,N2,,-,_20260317_141655_arbel_ez_perez_2024_observed_kinetics_for_the_prod.json,,0,,0,,0,,,
1,carbon black,not specified,trimethyl phosphate,not specified,,,,,,,,,P-modified carbon black,,,,P Pt W O,2.6 ± 0.2 Å,_20260317_141735_guan_2025_atomic_phosphorus_sites_for_anchoring_pl.json,P,1,O,1,,0,,,
2,W precursor,not specified,P-modified carbon black,not specified,,,,,,,,,W₁–P/C,,,,P Pt W O,2.6 ± 0.2 Å,_20260317_141735_guan_2025_atomic_phosphorus_sites_for_anchoring_pl.json,P,1,O,1,,0,,,
3,Pt precursor,not specified,W₁–P/C,not specified,,,,,,,,,Pt₁W₁–P/C,,,,P Pt W O,2.6 ± 0.2 Å,_20260317_141735_guan_2025_atomic_phosphorus_sites_for_anchoring_pl.json,P,1,O,1,,0,,,
1,"N,N-dimethyl-p-phenylenediamine",136.2 mg,cesium carbonate,1304 mg,palladium chloride,9 mg,1-methyl-2-chlorbenzimidazole,333.2 mg,,,,,ligand L,,,AR,CoCuN6,not specified,_20260317_142111_zhang_2025_cu_n_c_support_confinement_stabilizes_a.json,N,6,,0,,0,,,
2,ligand L,79.3 mg,CuBr₂,44.67 mg,,,,,,,,,CuL complex,,,AIR,CoCuN6,not specified,_20260317_142111_zhang_2025_cu_n_c_support_confinement_stabilizes_a.json,N,6,,0,,0,,,80.00
3,zinc nitrate hexahydrate,594 mg,cobalt nitrate hexahydrate,30 mg,2-methylimidazole,1320 mg,,,,,,,ZnCo-ZIF,,,AIR,CoCuN6,not specified,_20260317_142111_zhang_2025_cu_n_c_support_confinement_stabilizes_a.json,N,6,,0,,0,yes,24.00,
4,CuL complex,15 mg,ZnCo-ZIF,200 mg,anhydrous DMF,not specified,,,,,,,Co/Cu-N-C,900.00,2.00,AR,CoCuN6,not specified,_20260317_142111_zhang_2025_cu_n_c_support_confinement_stabilizes_a.json,N,6,,0,,0,,,
1,indium(III) trifluoromethanesulfonate,10 mg,copper acetylacetonate,not specified,4-(pyridin-4-yl) benzoic acid,not specified,,,,,,,InCu-MOF (orange crystalline solid),85.00,,AIR,InCu,,_20260317_142329_yao_2025_dual_metal_sites_in_mof_synergistic_boost.json,,0,,0,,0,,,
