step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,Pd(NO₃)₂·xH₂O,amount for 0.8 wt% Pd loading,Cu(NO₃)₂·3H₂O,amount for 16.5 wt% Cu loading,SiO₂ support (180–250 μm),3 g,deionized water,just sufficient to fill pores of support,,,,,Cu-Pd/SiO₂ bimetallic catalyst,79.85,0.50,AIR,,-,_20260319_152020_qiu_2021_cupd_bimetallic_catalyst_with_high_cupd_r.json,,0,,0,,0,,,
1,Fe(NO3)3·9H2O,not specified,Co(NO3)2·6H2O,not specified,Al(NO3)3·9H2O,not specified,,,,,,,"Fe2O3-Co3O4/Al2O3 catalyst (fresh, before reduction)",450.00,2.00,AIR,,-,_20260319_152101_torres_2020_cobalt_doping_of_feal2o3_catalysts_for.json,,0,,0,,0,,,
1,Ni(acac)₂,0.9 mmol,Cu(acac)₂,0.3 mmol,oleylamine (OAm),10 mL,trioctylphosphine (TOP),5 mL,,,,,Ni₀.₇₅Cu₀.₂₅ bimetallic nanoparticles (NPs),80.00,1.00,N₂,,-,_20260319_152207_guo_2019_nicu_bimetallic_nanoparticles_on_silica_s.json,,0,,0,,0,yes,1.00,
1,Fe₃O₄ NPs,not specified,PdCl₂,not specified,K₂PtCl₄,not specified,polyvinylpyrrolidone (PVP),not specified,ethylene glycol (EG),not specified,,,PdPt-Fe₃O₄ NPs,100.00,24.00,AR,,-,_20260319_152432_cho_2020_one_pot_chemoselective_synthesis_of_secon.json,,0,,0,,0,,,
1,Pt or Pd precursor,not specified,Co₃O₄,not specified,,,,,,,,,M/Co₃O₄ precursor,,,AIR,PtCo or PdCo,-,_20260319_152539_nguyen_2016_reduction_of_nitric_oxide_with_hydroge.json,,0,,0,,0,,,
2,M/Co₃O₄ precursor,all,,,,,,,,,,,M–O–Co₃O₄,,,AIR,PtCo or PdCo,-,_20260319_152539_nguyen_2016_reduction_of_nitric_oxide_with_hydroge.json,,0,,0,,0,,,
3,M–O–Co₃O₄,all,5% H₂/Ar or NO + H₂,flow gas,,,,,,,,,Pt₁Coₘ or Pd₁Coₙ DAC,,,AR,PtCo or PdCo,-,_20260319_152539_nguyen_2016_reduction_of_nitric_oxide_with_hydroge.json,,0,,0,,0,,,
1,Pt₁Sn₁ carbonyl cluster,not specified,TiO₂ (DT-51),"support, surface area 84 m²/g",CH₃CN,solvent for dissolution,,,,,,,2-Pt₁Sn₁-H₂ (TiO₂-supported PtSn catalyst),120.00,2.00,N₂,PtSn,-,_20260319_152614_bonincontro_2019_pt_and_ptsn_carbonyl_clusters_as_.json,,0,,0,,0,yes,2.00,
1,"Au precursor (e.g., HAuCl₄)",not specified,"Ag precursor (e.g., AgNO₃)",not specified,CMK-3 support,not specified,NaBH₄ in ethanol,used for reduction,,,,,xAu-yAg/CMK-3 (bimetallic Au-Ag catalyst),79.85,2.00,AIR,,-,_20260319_152740_meng_2020_synthesis_of_bimetallic_au_agcmk_3_catal.json,,0,,0,,0,,,
1,CNTs,500 mg,65% HNO₃,200 mL,,,,,,,,,A-CNTs,,,AIR,FeNi Nx,,_20260319_153117_cheng_2019_atomically_dispersed_bimetallic_feni_ca.json,,0,,0,,0,,,160.00
2,A-CNTs,all,dicyandiamide,not specified,Fe precursor,not specified,Ni(acac)₂,not specified,,,,,precursor-loaded A-CNTs,,,AIR,FeNi Nx,,_20260319_153117_cheng_2019_atomically_dispersed_bimetallic_feni_ca.json,,0,,0,,0,,,
3,precursor-loaded A-CNTs,all,,,,,,,,,,,dried composite,,,,FeNi Nx,,_20260319_153117_cheng_2019_atomically_dispersed_bimetallic_feni_ca.json,,0,,0,,0,,,71.00
4,dried composite,all,,,,,,,,,,,FeNi-DAC on N-CNTs,900.00,1.00,AR,FeNi Nx,,_20260319_153117_cheng_2019_atomically_dispersed_bimetallic_feni_ca.json,,0,,0,,0,,,
1,copper nitrate hexahydrate,not specified,silver nitrate,not specified,mordenite zeolite,given amount,ammonium hydroxide,used for basic medium,,,,,zeolite-based Ag-Cu bimetallic precipitate,,,AIR,,-,_20260319_153414_alotaibi_2021_green_methanol_synthesis_by_catalyti.json,,0,,0,,0,yes,2.00,85.00
2,zeolite-based Ag-Cu bimetallic precipitate,filtered and dried material,,,,,,,,,,,calcined Ag-Cu/zeolite catalyst,,,AIR,,-,_20260319_153414_alotaibi_2021_green_methanol_synthesis_by_catalyti.json,,0,,0,,0,,,350.00
3,calcined Ag-Cu/zeolite catalyst,not specified,,,,,,,,,,,"reduced Ag-Cu/zeolite catalyst (e.g., 1Ag9CuZ, 2Ag8CuZ, 4Ag6CuZ, 5Ag5CuZ)",360.00,5.00,,,-,_20260319_153414_alotaibi_2021_green_methanol_synthesis_by_catalyti.json,,0,,0,,0,,,
1,"Fe precursor (e.g., FeCl₃)",not specified,"tungsten precursor (e.g., Na₂WO₄)",not specified,deionized water,not specified,,,,,,,FeWO₄ nanoparticles,,,AIR,FeWS,not specified,_20260319_153702_zhao_2021_identification_of_m_nh2_nh2_intermediate.json,S,1,,0,,0,,,
2,FeWO₄ nanoparticles,150 mg,sulfur powder,300 mg (double weight of FeWO₄),,,,,,,,,FeWS@FeWO₄-2,450.00,,AR,FeWS,not specified,_20260319_153702_zhao_2021_identification_of_m_nh2_nh2_intermediate.json,S,1,,0,,0,,,
1,H₂[PdCl₄],aqueous solution,CNGs (carbon nanogrids),support,,,,,,,,,impregnated CNGs,,,AIR,PdRu,-,_20260319_153732_mironenko_2020_synthesis_of_pdc_catalysts_approach.json,,0,,0,,0,,,
2,impregnated CNGs,all,,,,,,,,,,,Pd/CNGs catalyst,,,,PdRu,-,_20260319_153732_mironenko_2020_synthesis_of_pdc_catalysts_approach.json,,0,,0,,0,,,299.85
3,H₂[PdCl₄],aqueous solution,Ru(OH)Cl₃,aqueous solution,CNTs (carbon nanotubes),support,,,,,,,PdRu/CNTs bimetallic precursor,,,AIR,PdRu,-,_20260319_153732_mironenko_2020_synthesis_of_pdc_catalysts_approach.json,,0,,0,,0,,,
1,Pd precursor,not specified,Ag precursor,not specified,reduced graphene oxide (rGO),not specified,Shewanella bacteria,OD₆₀₀ = 1.0 (optimized),,,,,Pd-Ag/rGO bimetallic nanocomposite,,,,,-,_20260319_153744_han_2019_microbial_synthesis_of_graphene_supported.json,,0,,0,,0,,,
1,Vulcan XC-72R,50 mg,H₂SO₄,20 mL of 0.1 M,AgNO₃,"1 mL of 5 mM solution per addition, total 4 mL",C₄H₆O₄Pd,"0.4 mL of 5 mM solution per addition, total 4.8 mL (12 cycles × 0.4 mL)",,,,,Ag/Pd/Vulcan XC-72R bimetallic catalyst,,8.00,AIR,,-,_20260319_153928_vega_cartagena_2019_silver_palladium_electrodeposi.json,,0,,0,,0,,,
1,NH4ReO4,0.0216 g,RuCl3·nH2O aq.,"4.87 mmol L⁻¹, 10.16 mL",deionized water,15 mL,Al2O3 (JRC-ALO-8),0.48 g,,,,,Ru-Re/Al2O3 catalyst,110.00,24.00,AIR,Ru Re,-,_20260319_154305_li_2021_partial_oxidation_of_methane_to_syngas_via.json,,0,,0,,0,yes,24.00,
1,"zeolite (e.g., Zeolite-X&HS15)",1.0 g,deionized water (DIW),100 mL,,,,,,,,,zeolite suspension,,,AIR,Pd Sn,-,_20260319_154329_park_2019_nitrate_reduction_on_surface_of_pdsn_cat.json,,0,,0,,0,yes,0.08,
2,"Sn precursor (e.g., SnCl₂ or Sn(NO₃)₂)",not specified,"Pd precursor (e.g., PdCl₂ or Pd(NO₃)₂)",not specified,zeolite suspension,all,,,,,,,dried Pd-Sn/zeolite precursor,,,AIR,Pd Sn,-,_20260319_154329_park_2019_nitrate_reduction_on_surface_of_pdsn_cat.json,,0,,0,,0,yes,2.00,
3,dried Pd-Sn/zeolite precursor,not specified,NaBH₄,"10 mM, dropwise addition",,,,,,,,,activated Pd-Sn/zeolite catalyst,,,N₂,Pd Sn,-,_20260319_154329_park_2019_nitrate_reduction_on_surface_of_pdsn_cat.json,,0,,0,,0,,,
1,AgNO₃,85 mg,NaBH₄,5 mg,PVP,250 mg,deionized water,8 mL,,,,,"Ag nanoparticles (quasi-spherical, ~20 nm)",,,AIR,,-,_20260319_154443_jang_2019_synthesis_rhag_bimetallic_composite_nano.json,,0,,0,,0,yes,2.00,25.00
2,Ag nanoparticle suspension,1 mL,Rh(NO₃)₃,"7.63×10⁻⁴ mM (for RhAg 0.5), up to 7.63×10⁻³ mM (for RhAg 5)",NaBH₄,0.2 mg,PVP,5 mg,deionized water,8 mL,,,RhAg bimetallic composite nanoparticles (Rh-rich surface area on Ag core),,0.08,AIR,,-,_20260319_154443_jang_2019_synthesis_rhag_bimetallic_composite_nano.json,,0,,0,,0,yes,0.08,
1,Ni(NO₃)₂·6H₂O,0.6 mmol,Na₃C₆H₅O₇,0.9 mmol,deionized water,10 mL,,,,,,,solution A + solution B mixture (precursor colloid),,,AIR,FeNiN6,,_20260319_154534_zhang_2020_facile_synthesis_of_fe_ni_bimetallic_n_.json,N,6,,0,,0,yes,24.00,
2,K₃[Fe(CN)₆],0.4 mmol,deionized water,10 mL,,,,,,,,,Fe–Ni-PBAP precursor,,,AIR,FeNiN6,,_20260319_154534_zhang_2020_facile_synthesis_of_fe_ni_bimetallic_n_.json,N,6,,0,,0,,,
3,Fe–Ni-PBAP precursor,200 mg,C₂H₄N₄ (dicyandiamide),400 mg,deionized water,20 mL (10+10 mL),,,,,,,Fe–Ni@NCF,800.00,24.00,AR,FeNiN6,,_20260319_154534_zhang_2020_facile_synthesis_of_fe_ni_bimetallic_n_.json,N,6,,0,,0,yes,24.00,
1,CO₂,3.5 MPa,propylene oxide,30 mL,DL-lactide,14.41 g,Zn–Fe DMC catalyst,0.5 g,,,,,PPCLA terpolymer,55.00,20.00,CO,Zn Fe CN,,_20260319_154755_liu_2020_terpolymerizations_of_co2_propylene_oxide.json,C,1,N,1,,0,,,
1,(2H)₂-1,not specified,Co(OAc)₂·4H₂O,excess,DMF,not specified,,,,,,,(Co)₂-1,,,AIR,Co2Cl2 porphyrin cage,-,_20260319_154947_schoepff_2020_a_flexible_bis_co_iii_porphyrin_cage.json,Cl,2,,0,,0,,,150.00
2,(Co)₂-1,not specified,concentrated HCl,not specified,air,ambient (for oxidation),,,,,,,(CoCl)₂-1,,24.00,AIR,Co2Cl2 porphyrin cage,-,_20260319_154947_schoepff_2020_a_flexible_bis_co_iii_porphyrin_cage.json,Cl,2,,0,,0,yes,24.00,
1,Au precursor,"2% w/w for P₅₀, 3% w/w for P₇₅",Pd precursor,"2% w/w for P₅₀, 3% w/w for P₇₅",,,,,,,,,Au-Pd bimetallic catalyst precursors on support,,,,,-,_20260319_155216_centomo_2019_resonant_xrd_characterization_of_nano.json,,0,,0,,0,,,
2,precursor-loaded support,not specified,,,,,,,,,,,Au-Pd bimetallic catalysts (P₅₀ and P₇₅),,,,,-,_20260319_155216_centomo_2019_resonant_xrd_characterization_of_nano.json,,0,,0,,0,,,
1,Co(NO3)2·6H2O,"variable, part of 10 mL metal precursor solution",Cu(NO3)2·3H2O,"variable, part of 10 mL metal precursor solution",NH3BH3,54 mmol (based on molar ratio 54:1 relative to metal precursors),NaBH4,8.8 mmol,H2O,"18600 mmol (~335 g, ~335 mL)",,,CoₓCuᵧ@S16LC-0 or CoₓCuᵧ@S16LC-20,,,AIR,,-,_20260319_155327_deka_2021_space_confined_synthesis_of_highly_dispe.json,,0,,0,,0,yes,,
1,Fe₃O₄ NPs,0.5 g,Et₃N,5.0 mmol,epichlorohydrin,5.0 mmol,,,,,,,Fe₃O₄@epoxide (i),,,N₂,Cu Schiff base Mn,,_20260319_155527_nasseri_2021_cu_mn_bimetallic_complex_immobilized_.json,,0,,0,,0,,,90.00
2,Fe₃O₄@NH₂,0.5 g,Mn(OAc)₂·4H₂O,1.0 mmol,,,,,,,,,Fe₃O₄@NH₂–Mn–SB (iv),,,AIR,Cu Schiff base Mn,,_20260319_155527_nasseri_2021_cu_mn_bimetallic_complex_immobilized_.json,,0,,0,,0,,,60.00
3,compound iv,0.5 g,Cu(OAc)₂·H₂O,0.1 g,,,,,,,,,Fe₃O₄@Cu–Mn (v),,,AIR,Cu Schiff base Mn,,_20260319_155527_nasseri_2021_cu_mn_bimetallic_complex_immobilized_.json,,0,,0,,0,,,60.00
4,,,,,,,,,,,,,dried Fe₃O₄@Cu–Mn catalyst,,,,Cu Schiff base Mn,,_20260319_155527_nasseri_2021_cu_mn_bimetallic_complex_immobilized_.json,,0,,0,,0,,,
1,egg shells,collected and washed with distilled water,bismuth nitrate (Bi(NO₃)₃·5H₂O),purchased from Sigma-Aldrich,ethylene glycol,purchased from Sigma-Aldrich,urea (NH₂CONH₂),purchased from Sigma-Aldrich,,,,,homogeneous mixture,,,AIR,,-,_20260319_155614_khan_2019_investigation_of_role_of_urea_in_morphol.json,,0,,0,,0,yes,0.50,
2,sodium borohydride (NaBH₄),2 g,homogeneous mixture,all,,,,,,,,,reaction mixture before autoclaving,,,AIR,,-,_20260319_155614_khan_2019_investigation_of_role_of_urea_in_morphol.json,,0,,0,,0,yes,0.25,
3,reaction mixture before autoclaving,all,,,,,,,,,,,Ca₅Bi₃ nanoneedles,195.00,,HE,,-,_20260319_155614_khan_2019_investigation_of_role_of_urea_in_morphol.json,,0,,0,,0,,,
1,RhCl₃·3H₂O,0.504 g (1.92 mmol),NaOAc·3H₂O,0.787 g (5.78 mmol),absolute ethanol,15 mL,glacial acetic acid,15 mL,,,,,"Dirhodium(II,II) tetraacetate (C₁)",,,N₂,Rh24 or Rh24,"2.38–2.45 Å (typical Rh–Rh paddlewheel distance, inferred from literature consensus on dirhodium(II,II) paddlewheel structures; explicitly confirmed in analogous X-ray structures cited, e.g., Rh₂(form)₄ in ref 26)",_20260319_155707_de_doncker_2020_bimetallic_paddlewheel_type_dirhod.json,,0,,0,,0,,,
2,"ligand (e.g., N,N-di-p-tolylformamidinate)",3.04 mmol (10 equiv) or 7.48 mmol (25 equiv),"C₁ (Dirhodium(II,II) tetraacetate)",0.304 mmol (1.00 equiv),,,,,,,,,"Dirhodium(II,II) formamidinate complexes (C₃–C₆), e.g., Rh₂(form)₄",155.00,18.00,N₂,Rh24 or Rh24,"2.38–2.45 Å (typical Rh–Rh paddlewheel distance, inferred from literature consensus on dirhodium(II,II) paddlewheel structures; explicitly confirmed in analogous X-ray structures cited, e.g., Rh₂(form)₄ in ref 26)",_20260319_155707_de_doncker_2020_bimetallic_paddlewheel_type_dirhod.json,,0,,0,,0,yes,18.00,
1,"Ag precursor (not explicitly named, likely AgNO₃ or similar)",not specified,"Cu precursor (not explicitly named, likely Cu(NO₃)₂ or CuSO₄)",not specified,deionized water,not specified,basic reagent (implied by Ag₂O/CuO formation),not specified,,,,,Ag₂O/CuO nanosheets,60.00,0.03,AIR,,-,_20260319_160303_akram_2021_enhanced_synergistic_catalysis_of_novel.json,,0,,0,,0,,,
1,carbon cloth,10 mm × 10 mm,copper,sputtered for 30 min,(NH4)2S2O8,0.3 mmol in 100 mL aqueous solution,NaOH,7.5 mmol in 100 mL aqueous solution,,,,,Cu(OH)2 nanorods arrays on carbon cloth,,,AIR,CuCoN6,,_20260319_160721_chen_2020_in_situ_fabrication_of_porous_nanostruct.json,N,6,,0,,0,,,
2,Co(NO3)2·6H2O,10 mmol in 40 mL aqueous solution,2-methylimidazole,80 mmol in 40 mL aqueous solution,Cu(OH)2 nanorods arrays on carbon cloth,entire sample,,,,,,,Cu-Co-ZIF nanosheets on carbon cloth,,,AIR,CuCoN6,,_20260319_160721_chen_2020_in_situ_fabrication_of_porous_nanostruct.json,N,6,,0,,0,yes,4.00,
3,Cu-Co-ZIF nanosheets on carbon cloth,entire sample,,,,,,,,,,,porous Cu-Co-ZIF derivatives (Cu-Co bimetallic active sites on N-doped carbon),350.00,2.00,AIR,CuCoN6,,_20260319_160721_chen_2020_in_situ_fabrication_of_porous_nanostruct.json,N,6,,0,,0,,,
1,tetraethoxysilane (TEOS),7 wt.% in ethanol,"electrospinning setup (15 kV, 10 cm gap, 1 mL·h⁻¹ feed rate)",not applicable,,,,,,,,,electrospun silica support,,,AIR,,-,_20260319_160911_branco_2020_methanation_of_co2_over_nickel_lanthan.json,,0,,0,,0,,,550.00
2,Ni(NO₃)₂·6H₂O,48.33 mg,La(NO₃)₃·6H₂O,14.43 mg,electrospun silica support,20 mg,,,,,,,impregnated precursor on silica,,,AIR,,-,_20260319_160911_branco_2020_methanation_of_co2_over_nickel_lanthan.json,,0,,0,,0,yes,,60.00
3,impregnated precursor on silica,all,,,,,,,,,,,"Ni-Ln/SiO₂ bimetallic oxide catalyst (e.g., Ni-La/SiO₂, Ni-Ce/SiO₂, etc.)",550.00,2.00,AIR,,-,_20260319_160911_branco_2020_methanation_of_co2_over_nickel_lanthan.json,,0,,0,,0,,,
1,bimetallic metal-organic framework (MOF-NiZn) precursors,with varied Ni²⁺/Zn²⁺ molar ratios,,,,,,,,,,,ZnO/Ni₀.₉Zn₀.₁O nanocomposites,450.00,,AIR,,-,_20260319_161024_zhong_2020_bimetallic_metal_organic_framework_deri.json,,0,,0,,0,,,
1,nickel(II) nitrate hexahydrate,0.6979 g (2.4 mmol),copper(II) nitrate trihydrate,0.3865 g (1.6 mmol),terephthalic acid,0.4203 g (2 mmol),"1,3,5-benzenetricarboxylic acid (H₃BTC)",0.3323 g (2 mmol),deionized water,20 mL,DMF,20 mL,Ni-Cu bimetallic MOF,,,HE,,-,_20260319_161607_nabi_2020_au_nanoparticle_loaded_nickel_copper_bim.json,,0,,0,,0,,,120.00
2,Au nanoparticles (AuNP),25 mL of 0.1 mg/mL solution,Ni-Cu bimetallic MOF suspension,10 mL of 50 mg/mL suspension,,,,,,,,,AuNP/Ni-Cu MOF composite,,,AIR,,-,_20260319_161607_nabi_2020_au_nanoparticle_loaded_nickel_copper_bim.json,,0,,0,,0,yes,,
1,carbon nanotubes (CNT),pre-treated via acid and thermal treatment,Co(NO₃)₂ solution,pH-adjusted to 14,,,,,,,,,Co-adsorbed CNT,,,AIR,,-,_20260319_161718_akbarzadeh_2021_effect_of_temperature_syngas_space.json,,0,,0,,0,,,
2,Mn precursor,"added to achieve 5–20 wt% Mn loading (e.g., 5% for 95Co5Mn/CNT)",,,,,,,,,,,Co-Mn-adsorbed CNT,,,AIR,,-,_20260319_161718_akbarzadeh_2021_effect_of_temperature_syngas_space.json,,0,,0,,0,,,
3,,,,,,,,,,,,,"Co-Mn/CNT bimetallic catalyst (e.g., 95Co5Mn/CNT)",400.00,4.00,AR,,-,_20260319_161718_akbarzadeh_2021_effect_of_temperature_syngas_space.json,,0,,0,,0,,,
1,copper nitrate,not specified,nickel nitrate,not specified,trimesic acid,not specified,,,,,,,CuNi-MOF precursor,,,,,-,_20260319_162050_kumar_2020_copper_nickel_alloy_nanorods_textured_n.json,,0,,0,,0,,,
2,CuNi-MOF precursor,not specified,,,,,,,,,,,CNC-600 (Cu₃.₈Ni@C bimetallic alloy electrocatalyst),600.00,,N₂,,-,_20260319_162050_kumar_2020_copper_nickel_alloy_nanorods_textured_n.json,,0,,0,,0,,,
1,"Co precursor (e.g., Co(NO₃)₂·6H₂O or Co acetate)","varied per sample (e.g., 30 g Co for CoP, 25 g Co for Co₅Ni)","Ni precursor (e.g., Ni(NO₃)₂·6H₂O or Ni acetate)","varied per sample (e.g., 5 g Ni for Co₅Ni, 15 g Ni for CoNi)",support (Al₂O₃/SiO₂ mixture),"as carrier, unspecified mass",,,,,,,impregnated catalyst intermediate,,,AIR,CoNi,-,_20260319_162203_van_helden_2020_cobalt_nickel_bimetallic_fischer_t.json,,0,,0,,0,,,
2,impregnated catalyst intermediate,all,,,,,,,,,,,calcined catalyst,,,AIR,CoNi,-,_20260319_162203_van_helden_2020_cobalt_nickel_bimetallic_fischer_t.json,,0,,0,,0,,,250.00
3,calcined catalyst,all,,,,,,,,,,,reduced Co-Ni/Al₂O₃-SiO₂ bimetallic catalyst (alloyed),450.00,,,CoNi,-,_20260319_162203_van_helden_2020_cobalt_nickel_bimetallic_fischer_t.json,,0,,0,,0,,,
1,Au powder,50 mg,Pd powder,50 mg,MgO support,950 mg,stainless steel milling jar (15 mL),1 unit,,,,,AuPd/MgO bimetallic catalyst,,,AIR,,-,_20260319_162504_de_bellis_2021_mechanochemical_synthesis_of_suppor.json,,0,,0,,0,,,
1,copper-based metal organic frameworks (MOFs),not specified,cobalt salt,not specified,nitrogen source,not specified,,,,,,,impregnated MOF precursor,,,AIR,CuCoNₓ,,_20260319_162851_wang_2021_bimetallic_hybrids_modified_with_carbon_.json,N,1,,0,,0,,,
2,impregnated MOF precursor,all,,,,,,,,,,,CuCo@NCNTs,700.00,2.00,HE,CuCoNₓ,,_20260319_162851_wang_2021_bimetallic_hybrids_modified_with_carbon_.json,N,1,,0,,0,,,
1,Cu(NO3)2·3H2O,8.6 mmol,Al(NO3)3·9H2O,1.4 mmol,H3BTC,6 mmol,CH3CH2OH,30 mL,ultrapure water,30 mL,,,6Cu1Al-BTC MOF,120.00,24.00,,CuAlO_x,,_20260319_163015_shi_2020_synthesis_and_characterization_of_bimetal.json,O,1,,0,,0,,,
1,cordierite (C),"commercial, ϕ20 × 10 mm monoliths",SiO₂ sol,30 wt% aqueous solution,,,,,,,,,SiO₂/cordierite (SD/C) support,,,AIR,Pd N,-,_20260319_163255_guo_2021_high_performance_pd_n_n_ga_or_ag_bimetall.json,N,1,,0,,0,,,100.00
2,Ga(NO₃)₃·9H₂O,to achieve 0.3–0.9 wt% Ga,AgNO₃,to achieve 0.3–0.9 wt% Ag,PdCl₂,to achieve 0.3–0.9 wt% Pd,SD/C,as support,,,,,Pd-N/SD/C (N = Ga or Ag) monolithic catalyst precursors (oxide form),,,AIR,Pd N,-,_20260319_163255_guo_2021_high_performance_pd_n_n_ga_or_ag_bimetall.json,N,1,,0,,0,,,100.00
3,Pd-N/SD/C precursors,as prepared,H₂ gas,"flowing, used as reducing agent",,,,,,,,,reduced Pd-N/SD/C bimetallic monolithic catalysts (Pd-Ga/SD/C or Pd-Ag/SD/C),150.00,2.00,,Pd N,-,_20260319_163255_guo_2021_high_performance_pd_n_n_ga_or_ag_bimetall.json,N,1,,0,,0,,,
1,aqueous leaf extract of Polyalthia longifolia,4 mL,silver nitrate (AgNO₃),"1 mM, 16 mL",chloroauric acid (HAuCl₄),"1 mM, 16 mL",silver nitrate/chloroauric acid (1:1),"1 mM total, 16 mL",,,,,"AgNPs, AuNPs, or Au-Ag alloy NPs",70.00,1.00,AR,,-,_20260319_163541_ghosh_2020_process_optimization_for_biosynthesis_o.json,,0,,0,,0,,,
1,Fe(NO₃)₃·9H₂O,1.3 g,M(NO₃)₂·xH₂O,0.17 mol,sodium acetate trihydrate,12.76 g,,,,,,,[Fe₂MO(CH₃COOH)₆(H₂O)₃OH] cluster,,,AIR,FeM,-,_20260319_163658_lionet_2019_bimetallic_mof_templated_synthesis_of_.json,,0,,0,,0,yes,24.00,
2,[Fe₂MO(CH₃COOH)₆(H₂O)₃OH] cluster,200 mg,"4,4'-biphenyldicarboxylic acid",0.242 g,DMF,8 mL,acetic acid,1 mL,,,,,MIL-126(FeM) powder,,,N₂,FeM,-,_20260319_163658_lionet_2019_bimetallic_mof_templated_synthesis_of_.json,,0,,0,,0,,,150.00
3,MIL-126(FeM) powder,all,,,,,,,,,,,FeM@PC,700.00,2.00,AR,FeM,-,_20260319_163658_lionet_2019_bimetallic_mof_templated_synthesis_of_.json,,0,,0,,0,,,
1,HAuCl₄·3H₂O,not specified,Co(NO₃)₂·6H₂O,not specified,"CeO₂ (nanopowder, ≤20 nm)","support, amount not specified",urea (CO(NH₂)₂),not specified,,,,,"1%Au-1%Co/CeO₂ (or variable Co loading, e.g., 1%Au-4%Co/CeO₂)",80.00,16.00,AIR,,-,_20260319_164008_berrichi_2019_heterogeneous_bimetallic_au_co_nanop.json,,0,,0,,0,,,
